Taxa,ala,arg,asp,gln,glu,Gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,try,val,Total,ShikFam,AspFam,AspFam_Asp,SerFam,GluFam,GluFam_glu,BCAA,PyrFam
7479,1.598788219,1.150746822,1.141861945,3.049882987,1.075192692,0.61061231,5.530926533,1.554027774,1.895142047,3.225897489,0.768641612,1.073378039,-1.731549421,-0.473253341,NaN,0.882829267,0.70497533,1.452200759,0.277761561,0.977578989,1.240943083,1.240943083,0.031098047,0.610055508,1.039040795,1.306640552,1.065049308
7482,1.284801539,1.122640614,1.138303429,2.7122513,1.088563247,0.666178003,4.966171719,1.494121842,1.766612942,2.943274003,0.775465702,1.048644626,-1.736799132,-0.239118729,0.755023958,0.887788519,0.711382127,1.335902313,0.266382762,0.966224363,1.199596059,1.199596059,0.23210789,0.569634355,0.949731115,1.176420705,0.882733493
7483,1.688328741,1.148092658,1.150449285,3.1913781,1.077357919,0.520737039,5.871091759,1.641446094,1.881502208,3.288191085,0.757081297,1.072733902,-1.808987022,-0.315469877,0.736977634,0.93081595,0.668330624,1.448984268,0.284882116,0.969122654,1.198368089,1.198368089,0.010594269,0.604220513,1.064250053,1.323032952,1.088937121
7490,1.174806652,1.101813313,1.142284576,2.307545116,1.085749699,0.691684114,4.271134501,1.448487877,1.649185701,2.699148339,0.770506,1.037862553,-1.427151836,-0.289806838,0.757171854,0.866781121,0.713452375,1.308817264,0.264577856,0.972649071,1.211134542,1.211134542,0.247176161,0.570922226,0.827715923,1.120362899,0.80001642
7492,1.446963343,1.147507523,1.179048055,2.821388426,1.077333117,0.592633449,5.121705234,1.519630205,1.816873151,3.094015219,0.759038356,1.047634129,-1.75901301,-0.580104456,NaN,0.89559044,0.700765236,1.354632857,0.282795544,0.967566704,1.208645849,1.208645849,-0.045920815,0.602408511,1.017547887,1.205317331,0.958191874
7496,1.415974219,1.08608273,1.186651807,2.144076666,1.086104889,0.670824488,4.122965325,1.424638561,1.645544275,2.752168086,0.780677702,1.046379224,-1.475593367,-0.129769847,0.74930409,0.917266025,0.734077142,1.29093034,0.257513638,0.960885566,1.232348056,1.232348056,0.307352117,0.565038538,0.787692565,1.09752994,0.896080023
7498,1.340015252,1.117386676,1.173855095,2.492361379,1.083500348,0.637356083,4.925765321,1.416859025,1.676202506,2.815622824,0.784102973,1.049315622,-1.184113273,-0.233651627,0.771141655,0.889132319,0.717704717,1.310228272,0.264198706,0.97071086,1.235488048,1.235488048,0.204376386,0.575126868,0.829391881,1.115407669,0.886074175
7502,1.583000243,1.136728637,1.154746661,2.74569588,1.075195114,0.642359635,4.742535166,1.511992251,1.730538826,3.042907909,0.817449557,1.06523313,-1.816095026,-0.272878831,0.7773989,0.861988403,0.715290019,1.443238549,0.278517518,0.979077498,1.230660749,1.230660749,0.186574911,0.605467036,0.985680477,1.24193234,1.024730923
7504,1.614676583,1.163264957,1.115170242,3.222549987,1.070317396,0.566282759,5.282471524,1.531230536,1.838961765,3.290269041,0.770165046,1.062544709,-1.51525208,-0.543056515,0.75160976,0.87882168,0.693732119,1.463026203,0.302391175,0.978502674,1.178957403,1.178957403,-0.07006418,0.62259222,1.028686968,1.287366946,1.064770582
7506,1.422805432,1.125010292,1.147677374,2.894418625,1.087925576,0.609285946,5.109242996,1.474589809,1.805704062,3.025738186,0.77010345,1.048323491,-1.704450388,-0.356596477,0.763922339,0.874680853,0.711010417,1.35362529,0.269017254,0.971389119,1.214404391,1.214404391,0.098893602,0.571490734,0.971974332,1.189686493,0.946678014
7507,1.206855864,1.104073567,1.141881255,2.8647174,1.077759447,0.538490916,4.756752213,1.452949354,1.740350632,2.643662256,0.763008797,1.049214799,-1.64843971,-0.459050955,0.758506762,0.849954111,0.696302752,1.349888094,0.279422426,0.979484994,1.210486439,1.210486439,-0.042066511,0.596121541,0.915676868,1.166428072,0.852005083
7508,1.526640951,1.177534519,1.147435103,3.004244593,1.078605651,0.566327541,5.309325066,1.475683727,1.708310529,3.040902386,0.778980371,1.054088492,-1.810081785,-0.334695335,0.756868807,0.886067688,0.708064737,1.375029129,0.280817737,0.971269813,1.211444311,1.211444311,0.046248898,0.602417808,1.105748722,1.182412384,0.976238265
7514,1.626930941,1.177035504,1.164126906,2.988961768,1.076931495,0.535757536,6.685022234,1.529595971,1.840245473,3.287301301,0.761783523,1.053953482,-1.688336433,-0.621240314,0.765600425,0.922661079,0.715562477,1.439006216,0.280892664,0.961044415,1.220513107,1.220513107,-0.170207268,0.606206284,1.085469836,1.27299926,1.053665017
7515,1.461371855,1.156374745,1.180561775,3.099070718,1.072536702,0.563204994,5.468790785,1.447037636,1.716347532,3.177383844,0.760828928,1.047134262,-1.486127217,-0.356632275,0.754354442,0.908335356,0.711556085,1.370036927,0.277710329,0.96436512,1.231858016,1.231858016,0.034142053,0.614632193,1.00116247,1.172366443,0.955415759
