Taxa,ile_BCAA,leu_BCAA,val_BCAA,gln_GluFamCorr,glu_GluFamCorr,his_GluFam,ile_GluFamCorr,leu_GluFamCorr,pro_GluFamCorr,val_GluFamCorr,ala_t,arg_t,asp_t,gln_t,glu_t,Gly_t,his_t,ile_t,leu_t,lys_t,met_t,phe_t,pro_t,ser_t,trp_t,try_t,val_t
6992,0.290368764,0.565161953,0.542110817,10.95145978,0.685005418,120.5328595,0.395332468,1.202014485,0.347699065,0.646936213,0.233935712,1.337592993,10.20428451,0.888981411,46.89700732,2.370389187,1.173308737,1.029192391,0.959550908,0.727255785,0.942634208,1.56389321,1.067381938,1.703984484,1.6041793,1.127850991,1.152718401
6994,0.281163938,0.565172002,0.550394798,8.627081958,0.571698646,80.11780455,0.401487208,1.196400582,0.409699619,0.657991659,0.199974547,1.349996178,11.65491614,0.717895848,37.23578022,2.329295569,0.93974104,1.016027401,0.963477705,0.691408699,0.928059194,1.433303008,1.155158718,1.672240405,1.636029336,1.128765446,1.151782235
6996,0.22034786,0.548785271,0.624142381,7.853506761,0.596234563,109.5668672,0.359473419,1.207644631,0.417820807,0.661540116,0.172567203,1.319193199,11.62829569,0.631198631,37.87963656,2.452886044,1.217925119,0.928061039,1.012762774,0.69442593,0.878851702,1.639432253,1.168780353,1.822642604,1.642911028,1.136173973,1.155200125
6998,0.28499752,0.566990793,0.542554108,9.731002688,0.671878646,105.1140697,0.415240658,1.190418256,0.358079271,0.665662732,0.220780042,1.306475455,9.035439588,0.794511039,43.52553743,2.148264971,1.112172322,1.05532456,0.931581357,0.726640459,0.935209949,1.617476725,1.076718566,1.821790579,1.649487878,1.196655923,1.17542207
7000,0.276753458,0.550021533,0.572440045,9.751787064,0.664355008,112.5977771,0.380538047,1.211754253,0.340592408,0.644584485,0.228557503,1.346671633,13.15112284,0.795901761,43.04400727,2.267374094,1.18239952,0.984427544,1.015450311,0.734599425,0.918892834,1.504648351,1.04292348,1.81530932,1.610150043,1.042243962,1.136108464
7002,0.284082425,0.578435572,0.530313801,9.313560903,0.622170443,104.7798909,0.414527479,1.186083814,0.414508665,0.664434984,0.20668884,1.32785734,10.43628042,0.765517139,40.50498065,2.235828672,1.129249624,1.048559371,0.918199928,0.744381986,0.966457065,1.43727314,1.170231146,1.807615231,1.64264453,1.127256067,1.168398063
7004,0.261003339,0.548861776,0.588124555,10.82985679,0.700141826,120.748276,0.373507225,1.212012377,0.355348095,0.64771402,0.197600014,1.29524682,10.66824044,0.903650625,44.39836753,2.273114728,1.248370516,0.970108487,1.015479234,0.797395089,0.909459784,1.527543368,1.070202447,1.768968147,1.639607163,1.073061407,1.142167349
7008,0.293083039,0.583226333,0.513729261,8.827808464,0.673795972,109.6856141,0.4155086,1.1862763,0.359060965,0.657610005,0.213899983,1.325820562,10.19819333,0.717127804,37.38760064,2.353771277,1.136102145,1.062116906,0.910356549,0.732982812,0.852237341,1.391694359,1.075303417,1.857801627,1.576357608,1.100425896,1.165031232
7011,0.301505176,0.565323202,0.530178227,9.131783919,0.631478379,111.2831025,0.427969139,1.187911666,0.369985476,0.668818591,0.194993223,1.358306667,8.002211107,0.732399356,41.72462213,2.668383293,1.165424353,1.080228222,0.921402966,0.717048907,0.941335605,1.613691365,1.096424622,1.857389266,1.653588039,1.199081123,1.180038697
7014,0.278660562,0.571470501,0.544278889,8.884359776,0.618974519,88.97041182,0.411023462,1.188599859,0.40198539,0.666821225,0.207244536,1.319435772,10.52434969,0.733668548,40.09168683,2.330138777,0.997967062,1.04014065,0.929398283,0.672040794,0.929897061,1.568290003,1.146304678,1.820697155,1.625661535,1.169090086,1.171316507
